Name,Lat,Long,Country,Pop,,
POINT BEACH,44.2808,-87.5361,USA,"67,582",,
PRAIRIE ISLAND,44.6194,-92.6331,USA,"102,690",,
QUAD CITIES,41.7261,-90.31,USA,"233,327",,
R.E. GINNA,43.277653,-77.309254,USA,"519,848",,
RANCHO SECO-1,38.345278,-121.121667,USA,"390,513",,
RIVER BEND,30.7572,-91.3317,USA,"108,343",,
SALEM,39.4628,-75.5358,USA,"421,764",,
SAN ONOFRE,33.3703,-117.557,USA,"583,789",,
SAXTON,40.226944,-78.241944,USA,"88,201",,
SEABROOK,42.8981,-70.8514,USA,"390,676",,
SEQUOYAH,35.2233,-85.0878,USA,"435,480",,
SHEARON HARRIS,35.6333,-78.9561,USA,"488,327",,
SHIPPINGPORT,40.621111,-80.435278,USA,"382,697",,
SHOREHAM,40.961111,-72.865,USA,"670,828",,
SOUTH TEXAS,28.795,-96.0481,USA,"32,945",,
ST. LUCIE,27.3486,-80.2464,USA,"408,443",,
SURRY,37.1656,-76.6983,USA,"402,843",,
SUSQUEHANNA,41.0917,-76.1486,USA,"282,055",,
THREE MILE ISLAND,40.1531,-76.725,USA,"823,652",,
TROJAN,46.038333,-122.885,USA,"150,007",,
TURKEY POINT,25.435,-80.3314,USA,"574,448",,
VALLECITOS,37.613267,-121.840164,USA,"1,408,630",,
VERMONT YANKEE,42.7803,-72.5158,USA,"132,433",,
VIRGIL C. SUMMER,34.2958,-81.3203,USA,"170,718",,
VOGTLE,33.1419,-81.7647,USA,"33,482",,
WATERFORD,29.995,-90.4711,USA,"322,096",,
WATTS BAR,35.6028,-84.7903,USA,"84,611",,
WOLF CREEK,38.2389,-95.6889,USA,"11,083",,
YANKEE,42.727839,-72.929108,USA,"63,284",,
ZION,42.446428,-87.803003,USA,"731,635",,
